fecha,nombre,descripcion,peso_entrada,peso_salida,neto,contrato_id,cod_producto_id,cod_bascula_id
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,24740.0,15840.0,8900.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,25740.0,15680.0,10060.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,24000.0,16100.0,7900.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,26580.0,15660.0,10920.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,22600.0,16120.0,6480.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,23620.0,15820.0,7800.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,14500.0,11020.0,3480.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,13760.0,12780.0,980.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,14580.0,13140.0,1440.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,13860.0,13720.0,140.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,10820.0,9900.0,920.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,14580.0,12340.0,2240.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,21520.0,15900.0,5620.0,2,39,1
2021-07-09,AYUNTAMIENTO DE PALENCIA,RU,7360.0,6820.0,540.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,25760.0,15680.0,10080.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,24480.0,16120.0,8360.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,24420.0,15840.0,8580.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,18120.0,16460.0,1660.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,28620.0,15700.0,12920.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,23900.0,16120.0,7780.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,13520.0,12720.0,800.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,14100.0,13060.0,1040.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,13940.0,13780.0,160.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,17340.0,15840.0,1500.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,10560.0,9780.0,780.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,21020.0,15820.0,5200.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,15320.0,12300.0,3020.0,2,39,1
2021-07-16,AYUNTAMIENTO DE PALENCIA,RU,7340.0,6820.0,520.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,26040.0,15660.0,10380.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,24380.0,15820.0,8560.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,23420.0,16060.0,7360.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,25440.0,15620.0,9820.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,22680.0,16060.0,6620.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,23000.0,15740.0,7260.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,13500.0,12800.0,700.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,14380.0,13120.0,1260.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,14280.0,13700.0,580.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,10480.0,9700.0,780.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,21460.0,15860.0,5600.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,14560.0,12280.0,2280.0,2,39,1
2021-07-23,AYUNTAMIENTO DE PALENCIA,RU,7040.0,6780.0,260.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,24960.0,15860.0,9100.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,25560.0,16160.0,9400.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,24680.0,16100.0,8580.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,21520.0,16100.0,5420.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,25620.0,15800.0,9820.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,25880.0,16100.0,9780.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,14020.0,12840.0,1180.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,14480.0,13180.0,1300.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,13960.0,13740.0,220.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,21300.0,15940.0,5360.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,10520.0,9680.0,840.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,14800.0,12260.0,2540.0,2,39,1
2021-07-30,AYUNTAMIENTO DE PALENCIA,RU,7640.0,6820.0,820.0,2,39,1
2021-08-06,AYUNTAMIENTO DE PALENCIA,RU,24060.0,15780.0,8280.0,2,39,1
2021-08-06,AYUNTAMIENTO DE PALENCIA,RU,25180.0,15640.0,9540.0,2,39,1
2021-08-06,AYUNTAMIENTO DE PALENCIA,RU,24140.0,16080.0,8060.0,2,39,1
2021-08-06,AYUNTAMIENTO DE PALENCIA,RU,24780.0,15600.0,9180.0,2,39,1
