fecha,neto,date
2021-08-20 04:33:17.000 +0200,9740.0,2021-08-20,9740.0,2021-08-20
2021-08-27 04:45:45.000 +0200,9580.0,2021-08-27,9580.0,2021-08-27
2021-09-03 01:41:34.000 +0200,7720.0,2021-09-03,7720.0,2021-09-03
2021-09-24 06:25:54.000 +0200,1160.0,2021-09-24,1160.0,2021-09-24
2021-11-05 01:20:07.000 +0100,10420.0,2021-11-05,10420.0,2021-11-05
2021-11-05 01:25:44.000 +0100,9220.0,2021-11-05,9220.0,2021-11-05
2021-11-05 01:52:32.000 +0100,9020.0,2021-11-05,9020.0,2021-11-05
2021-11-05 04:33:04.000 +0100,10000.0,2021-11-05,10000.0,2021-11-05
2021-11-05 04:45:56.000 +0100,7180.0,2021-11-05,7180.0,2021-11-05
2021-11-05 04:46:54.000 +0100,6480.0,2021-11-05,6480.0,2021-11-05
2021-11-05 07:53:39.000 +0100,1380.0,2021-11-05,1380.0,2021-11-05
2021-11-05 08:35:41.000 +0100,5640.0,2021-11-05,5640.0,2021-11-05
2021-11-05 09:33:43.000 +0100,1240.0,2021-11-05,1240.0,2021-11-05
2021-11-05 10:21:35.000 +0100,1160.0,2021-11-05,1160.0,2021-11-05
2021-11-05 11:01:51.000 +0100,4780.0,2021-11-05,4780.0,2021-11-05
2021-11-05 11:34:22.000 +0100,4960.0,2021-11-05,4960.0,2021-11-05
2021-11-05 06:31:53.000 +0100,1100.0,2021-11-05,1100.0,2021-11-05
2021-11-05 08:44:41.000 +0100,720.0,2021-11-05,720.0,2021-11-05
2021-11-05 16:24:27.000 +0100,940.0,2021-11-05,940.0,2021-11-05
2021-11-12 01:15:10.000 +0100,8940.0,2021-11-12,8940.0,2021-11-12
2021-11-12 01:19:50.000 +0100,9420.0,2021-11-12,9420.0,2021-11-12
2021-11-12 01:11:09.000 +0100,10760.0,2021-11-12,10760.0,2021-11-12
2021-11-12 04:49:34.000 +0100,10180.0,2021-11-12,10180.0,2021-11-12
2021-11-12 04:50:00.000 +0100,8180.0,2021-11-12,8180.0,2021-11-12
2021-11-12 06:31:52.000 +0100,940.0,2021-11-12,940.0,2021-11-12
2021-11-12 08:16:51.000 +0100,1640.0,2021-11-12,1640.0,2021-11-12
2021-11-12 09:20:24.000 +0100,2280.0,2021-11-12,2280.0,2021-11-12
2021-11-12 10:37:55.000 +0100,300.0,2021-11-12,300.0,2021-11-12
2021-11-12 10:40:46.000 +0100,5800.0,2021-11-12,5800.0,2021-11-12
2021-11-12 10:53:05.000 +0100,920.0,2021-11-12,920.0,2021-11-12
2021-11-12 11:04:48.000 +0100,1660.0,2021-11-12,1660.0,2021-11-12
2021-11-12 16:15:26.000 +0100,840.0,2021-11-12,840.0,2021-11-12
2021-11-19 00:51:55.000 +0100,10060.0,2021-11-19,10060.0,2021-11-19
2021-11-19 01:01:18.000 +0100,10840.0,2021-11-19,10840.0,2021-11-19
2021-11-19 01:35:14.000 +0100,9780.0,2021-11-19,9780.0,2021-11-19
2021-11-19 04:49:03.000 +0100,6600.0,2021-11-19,6600.0,2021-11-19
2021-11-19 04:51:18.000 +0100,8520.0,2021-11-19,8520.0,2021-11-19
2021-11-19 04:53:16.000 +0100,10760.0,2021-11-19,10760.0,2021-11-19
2021-07-30 10:26:46.000 +0200,5360.0,2021-07-30,5360.0,2021-07-30
2021-08-20 10:26:27.000 +0200,560.0,2021-08-20,560.0,2021-08-20
2021-09-10 08:31:28.000 +0200,2600.0,2021-09-10,2600.0,2021-09-10
2021-10-08 01:23:59.000 +0200,9040.0,2021-10-08,9040.0,2021-10-08
2021-10-15 07:10:18.000 +0200,840.0,2021-10-15,840.0,2021-10-15
2021-10-15 10:46:30.000 +0200,440.0,2021-10-15,440.0,2021-10-15
2021-11-19 06:32:07.000 +0100,1340.0,2021-11-19,1340.0,2021-11-19
2021-11-19 07:57:06.000 +0100,980.0,2021-11-19,980.0,2021-11-19
2021-11-19 08:27:03.000 +0100,680.0,2021-11-19,680.0,2021-11-19
2021-11-19 08:44:30.000 +0100,1760.0,2021-11-19,1760.0,2021-11-19
2021-11-19 09:34:52.000 +0100,80.0,2021-11-19,80.0,2021-11-19
2021-11-19 10:43:27.000 +0100,5140.0,2021-11-19,5140.0,2021-11-19
2021-11-19 10:53:47.000 +0100,540.0,2021-11-19,540.0,2021-11-19
2021-11-19 10:55:54.000 +0100,2560.0,2021-11-19,2560.0,2021-11-19
2021-11-26 01:16:31.000 +0100,10360.0,2021-11-26,10360.0,2021-11-26
2021-11-26 01:19:55.000 +0100,12460.0,2021-11-26,12460.0,2021-11-26
2021-11-26 01:47:50.000 +0100,10100.0,2021-11-26,10100.0,2021-11-26
2021-11-26 04:40:46.000 +0100,8020.0,2021-11-26,8020.0,2021-11-26
2021-11-26 04:41:43.000 +0100,10720.0,2021-11-26,10720.0,2021-11-26
2021-11-26 04:42:43.000 +0100,9520.0,2021-11-26,9520.0,2021-11-26
2021-11-26 06:30:24.000 +0100,1120.0,2021-11-26,1120.0,2021-11-26
2021-11-26 07:19:08.000 +0100,1980.0,2021-11-26,1980.0,2021-11-26
2021-11-26 08:25:06.000 +0100,1240.0,2021-11-26,1240.0,2021-11-26
2021-11-26 08:54:20.000 +0100,1600.0,2021-11-26,1600.0,2021-11-26
2021-11-26 09:39:42.000 +0100,420.0,2021-11-26,420.0,2021-11-26
2021-11-26 10:45:06.000 +0100,1280.0,2021-11-26,1280.0,2021-11-26
2021-11-26 10:54:27.000 +0100,5300.0,2021-11-26,5300.0,2021-11-26
